date,resin_ppi
2000-01-01,133.2
2000-02-01,135.7
2000-03-01,139.4
2000-04-01,143.7
2000-05-01,147.4
2000-06-01,147.8
2000-07-01,146.4
2000-08-01,146.3
2000-09-01,142.4
2000-10-01,140.7
2000-11-01,138.8
2000-12-01,137.3
2001-01-01,137.8
2001-02-01,139.3
2001-03-01,141.4
2001-04-01,141.9
2001-05-01,139.9
2001-06-01,137.6
2001-07-01,135.1
2001-08-01,131.3
2001-09-01,126.8
2001-10-01,128.3
2001-11-01,126.6
2001-12-01,123.9
2002-01-01,122.0
2002-02-01,121.3
2002-03-01,123.1
2002-04-01,125.4
2002-05-01,128.0
2002-06-01,130.1
2002-07-01,135.3
2002-08-01,136.4
2002-09-01,136.7
2002-10-01,138.2
2002-11-01,137.0
2002-12-01,135.3
2003-01-01,137.2
2003-02-01,141.8
2003-03-01,149.6
2003-04-01,153.2
2003-05-01,152.4
2003-06-01,149.2
2003-07-01,144.9
2003-08-01,143.6
2003-09-01,144.9
2003-10-01,146.2
2003-11-01,145.8
2003-12-01,144.0
2004-01-01,146.2
2004-02-01,150.4
2004-03-01,151.4
2004-04-01,154.8
2004-05-01,156.5
2004-06-01,159.6
2004-07-01,161.1
2004-08-01,164.9
2004-09-01,170.6
2004-10-01,175.6
2004-11-01,181.4
2004-12-01,185.2
2005-01-01,190.3
2005-02-01,190.8
2005-03-01,192.1
2005-04-01,192.3
2005-05-01,190.3
2005-06-01,186.3
2005-07-01,185.0
2005-08-01,183.4
2005-09-01,188.2
2005-10-01,203.9
2005-11-01,208.6
2005-12-01,205.2
2006-01-01,203.9
2006-02-01,200.0
2006-03-01,198.9
2006-04-01,194.3
2006-05-01,195.9
2006-06-01,198.5
2006-07-01,199.2
2006-08-01,202.3
2006-09-01,202.4
2006-10-01,200.0
2006-11-01,196.2
2006-12-01,189.1
2007-01-01,187.6
2007-02-01,185.5
2007-03-01,187.0
2007-04-01,192.1
2007-05-01,193.8
2007-06-01,196.9
2007-07-01,198.6
2007-08-01,198.7
2007-09-01,198.0
2007-10-01,199.3
2007-11-01,205.9
2007-12-01,207.5
2008-01-01,209.7
2008-02-01,209.6
2008-03-01,210.8
2008-04-01,212.1
2008-05-01,216.4
2008-06-01,219.1
2008-07-01,229.2
2008-08-01,233.3
2008-09-01,227.1
2008-10-01,222.3
2008-11-01,200.3
2008-12-01,190.3
2009-01-01,184.6
2009-02-01,190.1
2009-03-01,188.6
2009-04-01,183.5
2009-05-01,185.9
2009-06-01,185.9
2009-07-01,194.4
2009-08-01,194.5
2009-09-01,196.4
2009-10-01,194.5
2009-11-01,194.5
2009-12-01,196.8
2010-01-01,195.0
2010-02-01,206.4
2010-03-01,208.2
2010-04-01,222.4
2010-05-01,213.1
2010-06-01,208.1
2010-07-01,212.7
2010-08-01,211.1
2010-09-01,210.7
2010-10-01,215.0
2010-11-01,210.3
2010-12-01,208.4
2011-01-01,213.2
2011-02-01,218.8
2011-03-01,223.2
2011-04-01,229.1
2011-05-01,239.5
2011-06-01,238.4
2011-07-01,236.7
2011-08-01,233.8
2011-09-01,235.3
2011-10-01,229.2
2011-11-01,231.5
2011-12-01,227.2
2012-01-01,232.0
2012-02-01,234.9
2012-03-01,238.0
2012-04-01,239.6
2012-05-01,238.7
2012-06-01,236.3
2012-07-01,233.8
2012-08-01,234.8
2012-09-01,231.8
2012-10-01,234.4
2012-11-01,234.2
2012-12-01,233.9
2013-01-01,239.7
2013-02-01,244.1
2013-03-01,247.1
2013-04-01,245.9
2013-05-01,244.6
2013-06-01,245.4
2013-07-01,244.4
2013-08-01,245.1
2013-09-01,245.5
2013-10-01,245.8
2013-11-01,247.9
2013-12-01,247.7
2014-01-01,250.6
2014-02-01,253.8
2014-03-01,256.6
2014-04-01,257.5
2014-05-01,257.3
2014-06-01,255.2
2014-07-01,257.1
2014-08-01,259.4
2014-09-01,261.7
2014-10-01,263.0
2014-11-01,259.7
2014-12-01,252.4
2015-01-01,243.2
2015-02-01,237.3
2015-03-01,230.2
2015-04-01,229.4
2015-05-01,230.3
2015-06-01,231.5
2015-07-01,230.5
2015-08-01,227.7
2015-09-01,221.3
2015-10-01,218.9
2015-11-01,217.7
2015-12-01,218.1
2016-01-01,215.0
2016-02-01,216.3
2016-03-01,213.5
2016-04-01,213.7
2016-05-01,216.7
2016-06-01,219.5
2016-07-01,219.3
2016-08-01,220.1
2016-09-01,221.0
2016-10-01,225.6
2016-11-01,223.1
2016-12-01,218.4
2017-01-01,220.5
2017-02-01,225.2
2017-03-01,232.3
2017-04-01,235.8
2017-05-01,234.3
2017-06-01,232.8
2017-07-01,230.4
2017-08-01,230.3
2017-09-01,232.9
2017-10-01,237.7
2017-11-01,239.7
2017-12-01,240.2
2018-01-01,235.1
2018-02-01,236.4
2018-03-01,240.3
2018-04-01,238.3
2018-05-01,241.9
2018-06-01,243.8
2018-07-01,248.5
2018-08-01,252.3
2018-09-01,250.2
2018-10-01,251.2
2018-11-01,246.7
2018-12-01,242.4
2019-01-01,235.9
2019-02-01,230.8
2019-03-01,226.6
2019-04-01,225.0
2019-05-01,227.4
2019-06-01,223.9
2019-07-01,223.9
2019-08-01,224.7
2019-09-01,224.2
2019-10-01,224.6
2019-11-01,222.0
2019-12-01,217.3
2020-01-01,216.8
2020-02-01,220.9
2020-03-01,220.1
2020-04-01,207.9
2020-05-01,201.5
2020-06-01,202.4
2020-07-01,206.3
2020-08-01,212.1
2020-09-01,214.1
2020-10-01,223.7
2020-11-01,224.7
2020-12-01,229.7
2021-01-01,237.7
2021-02-01,249.9
2021-03-01,274.0
2021-04-01,289.7
2021-05-01,298.5
2021-06-01,311.4
2021-07-01,320.153
2021-08-01,326.872
2021-09-01,325.79
2021-10-01,326.733
2021-11-01,323.232
2021-12-01,313.849
2022-01-01,304.44
2022-02-01,304.632
2022-03-01,304.748
2022-04-01,316.927
2022-05-01,322.403
2022-06-01,326.29
2022-07-01,319.83
2022-08-01,309.932
2022-09-01,306.825
2022-10-01,299.731
2022-11-01,283.819
2022-12-01,280.446
2023-01-01,275.754
2023-02-01,281.969
2023-03-01,284.482
2023-04-01,289.072
2023-05-01,285.861
2023-06-01,280.39
2023-07-01,270.722
2023-08-01,267.608
2023-09-01,267.261
2023-10-01,266.048
2023-11-01,266.482
2023-12-01,265.438
2024-01-01,262.312
2024-02-01,267.951
2024-03-01,265.417
2024-04-01,268.226
2024-05-01,267.898
2024-06-01,267.287
2024-07-01,271.484
2024-08-01,270.614
2024-09-01,263.854
2024-10-01,267.158
2024-11-01,265.272
2024-12-01,263.662
2025-01-01,262.691
2025-02-01,269.737
2025-03-01,272.362
2025-04-01,270.527
2025-05-01,267.258
2025-06-01,265.103
2025-07-01,264.631
2025-08-01,263.078
2025-09-01,259.393
2025-10-01,259.307
2025-11-01,257.278
2025-12-01,253.552
2026-01-01,252.962
2026-02-01,258.5
2026-03-01,263.464
2026-04-01,279.264
2026-05-01,319.371
2026-06-01,319.371
